entry_num,item_zh,item_en,compatibility,reason,pg_num,source,comments
1,麵包;核桃,bread;walnut,good,預防心臟病,57,吃對食物健康100分,N/A
155,苦瓜;低鈉鹽,bitter melon||bitter gourd;low sodium salt,bad,易腹脹、腹瀉,106,吃對食物健康100分,N/A
156,苦瓜;蚵仔,bitter melon||bitter gourd;oyster,bad,降低營養價值,106,吃對食物健康100分,N/A
157,冬瓜;蝦,wax gourd||winter melon;shrimp,good,幫助人體吸收鈣質,107,吃對食物健康100分,N/A
158,冬瓜;鴨,wax gourd||winter melon;duck,good,預防貧血、促進食慾,107,吃對食物健康100分,N/A
159,冬瓜;豬肝,wax gourd||winter melon;pork liver,bad,使維生素C氧化,107,吃對食物健康100分,N/A
160,茄子;辣椒,eggplant;chili pepper,good,抗壓、美白肌膚,108,吃對食物健康100分,N/A
161,茄子;乳酪,eggplant;cheese,good,加強人體對鈣質的吸收,108,吃對食物健康100分,N/A
162,茄子;扁豆,eggplant;hyacinth bean||lentil,bad,影響人體吸收鈣質,108,吃對食物健康100分,N/A
163,茄子;胡蘿蔔,eggplant;carrot,bad,降低營養價值,108,吃對食物健康100分,N/A
164,茭白筍;瘦肉,water bamboo shoot||zizania shoot;lean meat,good,使皮膚恢復血色,109,吃對食物健康100分,N/A
165,茭白筍;髮菜,water bamboo shoot||zizania shoot;fat choy||black moss,good,幫助人體吸收鈣質,109,吃對食物健康100分,N/A
166,茭白筍;無鹽醬油,water bamboo shoot||zizania shoot;unsalted soy sauce,bad,鉀含量過高,109,吃對食物健康100分,N/A
167,茭白筍;鮮蟹肉,water bamboo shoot||zizania shoot;fresh crab,bad,破壞維生素B1,109,吃對食物健康100分,N/A
168,竹筍;蛋,bamboo shoot;egg,good,維持皮膚、消化系統健康,111,吃對食物健康100分,N/A
169,竹筍;牡蠣,bamboo shoot;oyster,good,幫助傷口癒合、預防感冒,111,吃對食物健康100分,N/A
170,竹筍;瘦肉,bamboo shoot;lean meat,good,使皮膚恢復血色,111,吃對食物健康100分,N/A
171,竹筍;胡蘿蔔,bamboo shoot;carrot,bad,破壞類胡蘿蔔素,111,吃對食物健康100分,N/A
172,竹筍;花枝羹,bamboo shoot;squid thick soup,bad,降低鈣質吸收,111,吃對食物健康100分,N/A
173,蘆筍;蛋,asparagus;egg,good,使皮膚恢復血色,113,吃對食物健康100分,N/A
174,蘆筍;蝦;海苔,asparagus;shrimp;seaweed,good,防治甲狀腺功能失調,113,吃對食物健康100分,N/A
175,蘆筍;蟹肉,asparagus;crab,good,減輕關節炎疼痛,113,吃對食物健康100分,N/A
176,蘆筍;甜椒,asparagus;sweet bell pepper,bad,降低營養價值,113,吃對食物健康100分,N/A
177,蘆筍;香蕉,asparagus;banana,bad,刺激腸胃產生不適,113,吃對食物健康100分,N/A
178,四季豆;乾香菇,green bean||string bean;dry mushroom||dried mushroom,good,保護眼睛、抗老,114,吃對食物健康100分,N/A
179,四季豆;花椒粉,green bean||string bean;prickly ash powder||pricklyash powder,good,強化人體對鈣質的吸收,114,吃對食物健康100分,N/A
180,四季豆;醋,green bean||string bean;vinegar,bad,破壞類胡蘿蔔素,114,吃對食物健康100分,N/A
181,四季豆;小魚乾,green bean||string bean;dry clove fish||dry fish||anchovy||dried clove fish||dried fish||dried anchovy,bad,影響鈣質吸收,114,吃對食物健康100分,N/A
182,豌豆;紅辣椒,green pea;red pepper,good,美白肌膚、防斑,115,吃對食物健康100分,N/A
183,豌豆;糙米,green pea;brown rice,good,防老、抗癌,115,吃對食物健康100分,N/A
184,豌豆;食用醋,green pea;vinegar,bad,引起消化不良,115,吃對食物健康100分,N/A
185,豌豆;菠菜,green pea;spinach,bad,影響鈣質吸收,115,吃對食物健康100分,N/A
186,青椒;雞肉,green bell pepper;chicken,good,護髮、護膚,117,吃對食物健康100分,N/A
187,青椒;牛肉,green bell pepper;beef,good,消除疲勞、提高免疫力,117,吃對食物健康100分,N/A
188,甜椒;花椰菜,sweet bell pepper;broccoli,good,護膚,117,吃對食物健康100分,N/A
189,甜椒;葵瓜子,sweet bell pepper;sunflower seed,bad,妨礙維生素E的吸收,117,吃對食物健康100分,N/A
190,甜椒;香菜,sweet bell pepper;parsley||coriander||cilantro,bad,使維生素C氧化,117,吃對食物健康100分,N/A
191,洋蔥;豬肉,onion;pork,good,消除疲勞,119,吃對食物健康100分,N/A
192,洋蔥;松子,onion;pine nut,good,抗癌防老、預防心臟病,119,吃對食物健康100分,N/A
193,洋蔥;蛋,onion;egg,good,護膚、促進血液循環,119,吃對食物健康100分,N/A
194,洋蔥;甜椒,onion;sweet bell pepper,bad,降低營養價值,119,吃對食物健康100分,N/A
195,洋蔥;蘋果,onion;apple,bad,誘發甲狀腺腫大,119,吃對食物健康100分,N/A
196,花椰菜;豬肉,broccoli;pork,good,美白肌膚、提高免疫力,121,吃對食物健康100分,N/A
197,白花椰菜;蝦,cauliflower;shrimp,good,補充甲狀腺激素的不足,121,吃對食物健康100分,N/A
198,花椰菜;糙米,broccoli;brown rice,good,護膚、防癌、抗老,121,吃對食物健康100分,N/A
199,花椰菜;牛肝,broccoli;beef liver,bad,破壞維生素C,121,吃對食物健康100分,N/A
200,花椰菜;豬肝,broccoli;pork liver,bad,降低礦物質的吸收率,121,吃對食物健康100分,N/A
201,玉米;草莓,corn;strawberry,good,預防黑斑、雀斑,122,吃對食物健康100分,N/A
202,玉米;馬鈴薯,corn;potato,bad,澱粉含量過高,122,吃對食物健康100分,N/A
203,玉米;可樂,corn;cola,bad,干擾鈣質吸收,122,吃對食物健康100分,N/A
204,木耳;蛋,black fungus (wood ear);egg,good,強健骨骼、牙齒,123,吃對食物健康100分,N/A
205,木耳;蝦,black fungus (wood ear);shrimp,good,豐潤血色、毛髮,123,吃對食物健康100分,N/A
206,木耳;甘藍菜,black fungus (wood ear);chinese kale,bad,誘發甲狀腺腫大,123,吃對食物健康100分,N/A
207,木耳;鳳梨,black fungus (wood ear);pineapple,bad,消化不良、反胃,123,吃對食物健康100分,N/A
208,香菇;荷蘭芹,mushroom;parsley,good,護眼、抗老、防癌,125,吃對食物健康100分,N/A
209,香菇;鯛魚,mushroom;snapper||sea bream,good,消除疲勞,125,吃對食物健康100分,N/A
210,香菇;瘦肉,mushroom;lean meat,good,維持皮膚、消化系統健康,125,吃對食物健康100分,N/A
211,香菇;酒,mushroom;wine||liqueur,bad,減少維生素D的吸收,125,吃對食物健康100分,N/A
212,香菇;紅蕃茄,mushroom;red tomato,bad,破壞類胡蘿蔔素,125,吃對食物健康100分,N/A
213,金針菇;蔥,enoki mushroom||enokitake;scallion||green onion,good,有助於消除疲勞,126,吃對食物健康100分,N/A
214,金針菇;番茄,enoki mushroom||enokitake;tomato,good,維持體內鹽分的平衡,126,吃對食物健康100分,N/A
215,金針菇;生蛤蜊,enoki mushroom||enokitake;raw clam,bad,破壞維生素B1,126,吃對食物健康100分,N/A
216,金針菇;羊肉,enoki mushroom||enokitake;lamb||mutton,bad,影響消化能力,126,吃對食物健康100分,N/A
217,枇杷;豬肉,loquat;pork,good,幫助類胡蘿蔔素作用,128,吃對食物健康100分,N/A
218,枇杷;蘋果,loquat;apple,good,防癌、抗老,128,吃對食物健康100分,N/A
219,枇杷;牛奶,loquat;milk,bad,牛奶變性沈澱,128,吃對食物健康100分,N/A
220,枇杷;酒,loquat;wine||liqueur,bad,可能產生毒性物質,128,吃對食物健康100分,N/A
221,奇異果;松子,kiwi;pine nut,good,促進人體吸收鐵質,129,吃對食物健康100分,N/A
222,奇異果;美乃滋,kiwi;mayonnaise,good,養顏美容,129,吃對食物健康100分,N/A
223,奇異果;豬肉,kiwi;pork,bad,降低營養價值,129,吃對食物健康100分,N/A
224,奇異果;蜂蜜,kiwi;honey,bad,易引起腹瀉,129,吃對食物健康100分,N/A
225,鳳梨;洋菜,pineapple;agar,good,促進血液循環,130,吃對食物健康100分,N/A
226,鳳梨;蛋,pineapple;egg,good,美白肌膚、消除疲勞,130,吃對食物健康100分,N/A
227,鳳梨;蝦,pineapple;shrimp,bad,刺激胃、引起嘔吐,130,吃對食物健康100分,N/A
228,鳳梨;香蕉,pineapple;banana,bad,鉀含量過高,130,吃對食物健康100分,N/A
229,香蕉;乳酪,banana;cheese,good,防止骨質疏鬆,131,吃對食物健康100分,N/A
230,香蕉;花生,banana;peanut,good,提高菸酸鹼含量,131,吃對食物健康100分,N/A
231,香蕉;牛奶,banana;milk,bad,不利蛋白質吸收、引起消化不良,131,吃對食物健康100分,N/A
232,番茄;蛋,tomato;egg,good,護膚、抗老、防癌,133,吃對食物健康100分,N/A
233,番茄;豆腐,tomato;tofu,good,養顏美容、提高免疫力,133,吃對食物健康100分,N/A
234,番茄;馬鈴薯,tomato;potato,good,促進血液循環,133,吃對食物健康100分,N/A
235,番茄;胡蘿蔔,tomato;carrot,bad,破壞維生素C,133,吃對食物健康100分,N/A
236,番茄;豬肝,tomato;pork liver,bad,使維生素C氧化,133,吃對食物健康100分,N/A
237,桃子;蘋果,peach;apple,good,刺激腸蠕動、通便,134,吃對食物健康100分,N/A
238,桃子;葡萄柚,peach;grapefruit,good,紅潤膚色、預防貧血,134,吃對食物健康100分,N/A
239,桃子;火腿,peach;ham,bad,腹瀉、腹脹,134,吃對食物健康100分,N/A
240,桃子;枸杞,peach;goji berry||wolfberry,bad,腹瀉、腹脹,134,吃對食物健康100分,N/A
241,李子;食鹽,plum;salt,good,維持酸鹼平衡,135,吃對食物健康100分,N/A
242,李子;堅果,plum;nut,good,促進兒童成長,135,吃對食物健康100分,N/A
243,李子;醋,plum;vinegar,bad,營養成分流失,135,吃對食物健康100分,N/A
244,李子;蜂蜜,plum;honey,bad,降低營養價值,135,吃對食物健康100分,N/A
245,芒果;玉米;蝦仁,mango;corn;shrimp,good,維持甲狀腺功能正常,137,吃對食物健康100分,N/A
246,芒果;牛奶,mango;milk,good,保護眼睛、防癌,137,吃對食物健康100分,N/A
247,芒果;乳酪,mango;cheese,good,幫助鈣質吸收、抗壓,137,吃對食物健康100分,N/A
248,芒果;牛肝,mango;beef liver,bad,失去營養價值,137,吃對食物健康100分,N/A
249,芒果;胡蘿蔔,mango;carrot,bad,營養流失,137,吃對食物健康100分,N/A
250,哈密瓜;芹菜,cantaloupe;celery,good,養顏美容,138,吃對食物健康100分,N/A
251,哈密瓜;牛奶,cantaloupe;milk,good,預防癌症、心臟病,138,吃對食物健康100分,N/A
252,哈密瓜;可樂,cantaloupe;cola,bad,鈣會被消耗掉,138,吃對食物健康100分,N/A
253,哈密瓜;醋,cantaloupe;vinegar,bad,流失營養成分,138,吃對食物健康100分,N/A
254,香瓜;白木耳,muskmelon;white fungus||white wood ear,good,增強體力、促進發育,139,吃對食物健康100分,N/A
255,香瓜;豬肉,muskmelon;pork,bad,減低礦物質吸收,139,吃對食物健康100分,N/A
256,香瓜;黃瓜,muskmelon;cucumber,bad,使營養流失,139,吃對食物健康100分,N/A
257,櫻桃;哈密瓜,cherry;cantaloupe,good,預防貧血、增加體力,140,吃對食物健康100分,N/A
258,櫻桃;食鹽,cherry;salt,good,維持酸鹼平衡,140,吃對食物健康100分,N/A
259,櫻桃;堅果,cherry;nut,bad,容易靜脈曲張、瘀血,140,吃對食物健康100分,N/A
260,櫻桃;蜂蜜,cherry;honey,bad,失去營養價值,140,吃對食物健康100分,N/A
